id,label,iri,semantic
ENSEMBL:ENSPTRG00000011769,ENSEMBL:ENSPTRG00000011769,,gene
ENSEMBL:ENSECAG00000014586,ENSEMBL:ENSECAG00000014586,,gene
dictyBase:DDB_G0283755,arpC,,gene
FBcv:0002030,lethal - all die during pupal stage,,phenotype
ENSEMBL:ENSOANG00000048621,ENSEMBL:ENSOANG00000048621,,gene
FlyBase:FBgn0038196,CG9922,,gene
EFO:0007985,platelet crit,,phenotype
ENSEMBL:ENSMODG00000009467,ENSEMBL:ENSMODG00000009467,,gene
HP:0001644,Dilated cardiomyopathy,,phenotype
ENSEMBL:ENSBTAG00000052438,ENSEMBL:ENSBTAG00000052438,,gene
dictyBase:DDB_G0271676,DDB_G0271676,,gene
MP:0002655,abnormal keratinocyte morphology,,phenotype
ZP:0001624,"otolith decreased amount, abnormal",,phenotype
HP:0030781,Increased circulating free fatty acid level,,phenotype
ZP:0002721,"myofibril skeletal muscle cell disorganized, abnormal",,phenotype
MP:0004024,aneuploidy,,phenotype
ENSEMBL:ENSECAG00000018149,ENSEMBL:ENSECAG00000018149,,gene
ENSEMBL:ENSPTRG00000015850,ENSEMBL:ENSPTRG00000015850,,gene
ZFIN:ZDB-GENE-040426-2204,sqstm1,,gene
PomBase:SPBC16A3.18,cip1,,gene
ENSEMBL:ENSACAG00000002564,ENSEMBL:ENSACAG00000002564,,gene
dbSNP:rs6828882,rs6828882-?,,variant
ENSEMBL:ENSECAG00000018697,ENSEMBL:ENSECAG00000018697,,gene
HGNC:12520,UFD1,,gene
ZP:0020463,"opercle hypoplastic, abnormal",,phenotype
dictyBase:DDB_G0275925,wdr68,,gene
WormBase:WBGene00006865,slcf-2,,gene
RGD:1305976,Efr3a,,gene
HP:0001152,Saccadic smooth pursuit,,phenotype
MP:0000755,hindlimb paralysis,,phenotype
FlyBase:FBgn0010379,Akt1,,gene
ENSEMBL:ENSBTAG00000005815,RNF31,,gene
ENSEMBL:ENSOANG00000001317,ENSEMBL:ENSOANG00000001317,,gene
ENSEMBL:ENSMODG00000013042,ENSEMBL:ENSMODG00000013042,,gene
HGNC:16666,KIF9,,gene
ENSEMBL:ENSPTRG00000009241,ENSEMBL:ENSPTRG00000009241,,gene
ENSEMBL:ENSSSCG00000002822,AMFR,,gene
FlyBase:FBgn0025790,TBPH,,gene
ENSEMBL:ENSCAFG00000016728,PSMA4,,gene
ZP:0000829,"thigmotaxis decreased occurrence, abnormal",,phenotype
ENSEMBL:ENSCAFG00000009014,ENSEMBL:ENSCAFG00000009014,,gene
ENSEMBL:ENSMODG00000002631,ENSEMBL:ENSMODG00000002631,,gene
MP:0002169,no abnormal phenotype detected,,phenotype
ENSEMBL:ENSFCAG00000005586,ENSEMBL:ENSFCAG00000005586,,gene
ENSEMBL:ENSACAG00000001219,ENSEMBL:ENSACAG00000001219,,gene
MP:0006292,abnormal nasal placode morphology,,phenotype
HP:0012499,Descending aortic dissection,,phenotype
ZFIN:ZDB-GENE-030131-2642,dnaja1,,gene
ENSEMBL:ENSSSCG00000017514,KPNB1,,gene
ENSEMBL:ENSPTRG00000013130,ENSEMBL:ENSPTRG00000013130,,gene
HP:0000649,Abnormality of visual evoked potentials,,phenotype
FBcv:0000430,abnormal cell polarity,,phenotype
HP:0000194,Open mouth,,phenotype
ENSEMBL:ENSBTAG00000032705,CALM,,gene
ENSEMBL:ENSMODG00000020890,ENSEMBL:ENSMODG00000020890,,gene
ENSEMBL:ENSPTRG00000051009,ENSEMBL:ENSPTRG00000051009,,gene
RGD:1305980,Mbd1,,gene
ENSEMBL:ENSECAG00000014883,ENSEMBL:ENSECAG00000014883,,gene
ENSEMBL:ENSCAFG00000032015,ENSEMBL:ENSCAFG00000032015,,gene
FlyBase:FBgn0026252,msk,,gene
MP:0030017,decreased adipocyte glucose uptake,,phenotype
RGD:621889,Ddb1,,gene
EFO:0004747,protein measurement,,phenotype
ENSEMBL:ENSFCAG00000043362,ENSEMBL:ENSFCAG00000043362,,gene
WBPhenotype:0000085,swollen intestinal lumen,,phenotype
ENSEMBL:ENSACAG00000010642,ENSEMBL:ENSACAG00000010642,,gene
ENSEMBL:ENSPTRG00000030043,ENSEMBL:ENSPTRG00000030043,,gene
ENSEMBL:ENSECAG00000015638,ENSEMBL:ENSECAG00000015638,,gene
ENSEMBL:ENSOANG00000003765,ENSEMBL:ENSOANG00000003765,,gene
HP:0002597,Abnormality of the vasculature,,phenotype
Coriell:GM04195,NIGMS-GM04195,,biological artifact
ENSEMBL:ENSECAG00000004482,ENSEMBL:ENSECAG00000004482,,gene
ENSEMBL:ENSMODG00000048958,ENSEMBL:ENSMODG00000048958,,gene
HP:0009020,Exercise-induced muscle fatigue,,phenotype
HGNC:24808,TRAFD1,,gene
MP:0009133,decreased white fat cell size,,phenotype
ENSEMBL:ENSBTAG00000017116,ENSEMBL:ENSBTAG00000017116,,gene
HP:0000980,Pallor,,phenotype
MP:0000784,forebrain hypoplasia,,phenotype
ENSEMBL:ENSMODG00000011925,ENSEMBL:ENSMODG00000011925,,gene
HP:0004414,Abnormality of the pulmonary artery,,phenotype
ZP:0013947,"caudal fin increased size, abnormal",,phenotype
ZFIN:ZDB-GENE-130730-1,akt1,,gene
ENSEMBL:ENSMMUG00000020743,ENSEMBL:ENSMMUG00000020743,,gene
ENSEMBL:ENSMODG00000024462,ENSEMBL:ENSMODG00000024462,,gene
ENSEMBL:ENSFCAG00000005177,ENSEMBL:ENSFCAG00000005177,,gene
HGNC:8156,OPRM1,,gene
MONARCH:APO_0000131APO_0000005,protein/peptide modification:absent,,phenotype
ENSEMBL:ENSGALG00000017118,MIPEP,,gene
XPO:0133344,wholly ventralized embryo,,phenotype
MGI:1926235,Stx6,,gene
FlyBase:FBgn0261085,Syt12,,gene
Coriell:GM04198,NIGMS-GM04198,,biological artifact
FlyBase:FBgn0011817,nmo,,gene
MONARCH:APO_0000199APO_0000002,chitin deposition:abnormal,,phenotype
WormBase:WBGene00004930,sod-1,,gene
HP:0003648,Lacticaciduria,,phenotype
MP:0000886,abnormal cerebellar granule layer morphology,,phenotype
MP:0009317,increased follicular lymphoma incidence,,phenotype
HGNC:4593,GRM1,,gene
HP:0002121,Generalized non-motor (absence) seizure,,phenotype
MGI:1921355,Gga2,,gene
ZP:0021482,"early endosome neural crest cell aggregated, abnormal",,phenotype
HP:0410004,obsolete Cleft secondary palate,,phenotype
FlyBase:FBgn0024997,CG2681,,gene
MGI:1920995,Ubac1,,gene
MP:0003721,increased tumor growth/size,,phenotype
ENSEMBL:ENSMMUG00000001888,ENSEMBL:ENSMMUG00000001888,,gene
ENSEMBL:ENSFCAG00000004607,ENSEMBL:ENSFCAG00000004607,,gene
ENSEMBL:ENSMMUG00000004935,ENSEMBL:ENSMMUG00000004935,,gene
MP:0009343,dilated gallbladder,,phenotype
dictyBase:DDB_G0269230,fpaA,,gene
Coriell:GM05536,NIGMS-GM05536,,biological artifact
ENSEMBL:ENSMODG00000012015,ENSEMBL:ENSMODG00000012015,,gene
FBcv:0002005,lethal - all die during P-stage,,phenotype
MGI:98869,Tuba1a,,gene
dictyBase:DDB_G0287981,DDB0187718,,gene
FlyBase:FBgn0004379,Klp67A,,gene
dictyBase:DDB_G0283425,DDB0185513,,gene
MP:0003061,decreased aerobic running capacity,,phenotype
WormBase:WBGene00219376,C28G1.10,,gene
MP:0011440,increased kidney cell proliferation,,phenotype
HP:0012249,Abnormal ST segment,,phenotype
ENSEMBL:ENSMMUG00000020521,ENSEMBL:ENSMMUG00000020521,,gene
ENSEMBL:ENSECAG00000005267,ENSEMBL:ENSECAG00000005267,,gene
MONARCH:APO_0000051APO_0000002,cell shape:abnormal,,phenotype
FlyBase:FBgn0027524,CG3909,,gene
WBPhenotype:0002324,backward point velocity decreased,,phenotype
MP:0009779,enhanced behavioral response to anesthetic,,phenotype
ENSEMBL:ENSGALG00000040028,GLB1,,gene
ENSEMBL:ENSMODG00000017657,ENSEMBL:ENSMODG00000017657,,gene
MP:0008332,decreased lactotroph cell number,,phenotype
ENSEMBL:ENSGALG00000052371,LOC107050833,,gene
ENSEMBL:ENSECAG00000015514,ENSEMBL:ENSECAG00000015514,,gene
ENSEMBL:ENSECAG00000019590,ENSEMBL:ENSECAG00000019590,,gene
PomBase:SPBC119.05c,lsb1,,gene
ENSEMBL:ENSMODG00000021041,ENSEMBL:ENSMODG00000021041,,gene
MONARCH:APO_0000042APO_0000003,spore germination:decreased,,phenotype
2632,thioguanine,,drug
ZFIN:ZDB-GENE-061013-433,pnkp,,gene
HP:0000278,Retrognathia,,phenotype
MONARCH:APO_0000106APO_0000250,vegetative growth:arrested,,phenotype
ZP:0002262,"vacuole notochord broken, abnormal",,phenotype
SGD:S000000946,UBP5,,gene
HGNC:19200,DPPA4,,gene
WBPhenotype:0001372,protein DNA interaction variant,,phenotype
ENSEMBL:ENSBTAG00000009177,ENSEMBL:ENSBTAG00000009177,,gene
ENSEMBL:ENSOANG00000046189,ENSEMBL:ENSOANG00000046189,,gene
HP:0011991,Abnormal neutrophil count,,phenotype
WBPhenotype:0000168,alae secretion variant,,phenotype
ENSEMBL:ENSGALG00000038504,ENSEMBL:ENSGALG00000038504,,gene
MGI:5466506,Zdhhc13<Gt(AC0492)Wtsi>/Zdhhc13<Gt(AC0492)Wtsi> [FVB.129P2-Zdhhc13<Gt(AC0492)Wtsi>],,genotype
ZP:0019107,"nucleus lens apoptotic, abnormal",,phenotype
ZP:0000366,"presumptive telencephalon aplastic, abnormal",,phenotype
ZFIN:ZDB-GENE-081104-27,dnm1a,,gene
HP:0002107,Pneumothorax,,phenotype
RGD:620936,Rab5a,,gene
ENSEMBL:ENSSSCG00000016974,ENSEMBL:ENSSSCG00000016974,,gene
MP:0020338,abnormal hippocampal pyramidal neuron dendrite morphology,,phenotype
MP:0006258,abnormal circumvallate papillae morphology,,phenotype
ENSEMBL:ENSACAG00000013494,ENSEMBL:ENSACAG00000013494,,gene
ENSEMBL:ENSPTRG00000006735,ENSEMBL:ENSPTRG00000006735,,gene
HGNC:3280,EIF3B,,gene
ENSEMBL:ENSCAFG00000006611,HOXC4,,gene
dictyBase:DDB_G0279193,polr2a,,gene
WBPhenotype:0001954,diplotene absent during oogenesis,,phenotype
WormBase:WBGene00001042,dnj-24,,gene
ENSEMBL:ENSMODG00000003648,ENSEMBL:ENSMODG00000003648,,gene
ZP:0008032,"skeletal muscle lacks parts or has fewer parts of type myofibril slow muscle cell, abnormal",,phenotype
ZP:0001211,"swim bladder uninflated, abnormal",,phenotype
ZP:0138061,"prepulse inhibition increased magnitude, abnormal",,phenotype
ZP:0001464,"heart position, abnormal",,phenotype
ENSEMBL:ENSBTAG00000004556,ENSEMBL:ENSBTAG00000004556,,gene
ENSEMBL:ENSPTRG00000043057,ENSEMBL:ENSPTRG00000043057,,gene
ENSEMBL:ENSCAFG00000013038,ENSEMBL:ENSCAFG00000013038,,gene
MONARCH:APO_0000065APO_0000004,flocculation:increased,,phenotype
ZP:0000041,"pharyngeal arch 3-7 skeleton quality, abnormal",,phenotype
ENSEMBL:ENSSSCG00000003195,PNKP,,gene
HGNC:3757,FLOT1,,gene
ENSEMBL:ENSPTRG00000013658,ENSEMBL:ENSPTRG00000013658,,gene
HP:0008936,Muscular hypotonia of the trunk,,phenotype
ZP:0000008,"hematopoietic stem cell differentiation disrupted, abnormal",,phenotype
MGI:107931,Sqstm1,,gene
2650,tianeptine,,drug
ZP:0104386,"caudal artery increased distribution, abnormal",,phenotype
HGNC:17839,CDC26,,gene
MP:0009336,increased splenocyte proliferation,,phenotype
ZP:0100482,"midbrain hindbrain boundary neural rod absent, abnormal",,phenotype
EFO:0004570,bilirubin measurement,,phenotype
MP:0004955,increased thymus weight,,phenotype
ZP:0001406,"somite decreased size, abnormal",,phenotype
ENSEMBL:ENSOANG00000007546,ENSEMBL:ENSOANG00000007546,,gene
ZP:0000220,"post-vent region morphology, abnormal",,phenotype
HP:0100792,Acantholysis,,phenotype
HP:0008873,Disproportionate short-limb short stature,,phenotype
WBPhenotype:0000424,antibody staining variant,,phenotype
ZFIN:ZDB-GENE-040426-2575,ctnnb2,,gene
HP:0100495,Mastocytosis,,phenotype
ZP:0000711,"brain decreased size, abnormal",,phenotype
MGI:1920081,Dhx30,,gene
MP:0003718,maternal effect,,phenotype
HP:0002936,Distal sensory impairment,,phenotype
SGD:S000002633,HTA1,,gene
MP:0014134,abnormal embryo morphology,,phenotype
ZP:0002275,"trunk necrotic, abnormal",,phenotype
MP:0000986,increased Merkel's receptor number,,phenotype
MP:0011208,small proamniotic cavity,,phenotype
HP:0010446,Tricuspid stenosis,,phenotype
ENSEMBL:ENSOANG00000003533,ENSEMBL:ENSOANG00000003533,,gene
WBPhenotype:0001644,protein metabolism variant,,phenotype
Coriell:GM05660,NIGMS-GM05660,,biological artifact
ENSEMBL:ENSGALG00000008095,ENSEMBL:ENSGALG00000008095,,gene
ZFIN:ZDB-GENE-030131-2579,kpnb1,,gene
ENSEMBL:ENSACAG00000000017,ENSEMBL:ENSACAG00000000017,,gene
MP:0005391,vision/eye phenotype,,phenotype
844,dextropropoxyphene,,drug
WBPhenotype:0000509,sperm pseudopod variant,,phenotype
ENSEMBL:ENSMMUG00000012957,ENSEMBL:ENSMMUG00000012957,,gene
ZP:0104496,"skeletal muscle myotome malformed, abnormal",,phenotype
HGNC:10353,RPL4,,gene
ZP:0001254,"trunk curved dorsal, abnormal",,phenotype
ENSEMBL:ENSCAFG00000008535,A0A5F4BYV9,,gene
ZP:0006997,"skeletal muscle morphology, abnormal",,phenotype
SGD:S000003367,PRE9,,gene
WormBase:WBGene00000073,add-2,,gene
FlyBase:FBgn0261399,Pp1-Y1,,gene
GO:0031648,protein destabilization,,molecular function
HP:0007162,Diffuse demyelination of the cerebral white matter,,phenotype
Xenbase:XB-GENE-1216189,sp8,,gene
MP:0000862,absent barrels in primary somatosensory cortex,,phenotype
MP:0008825,abnormal cardiac epithelial to mesenchymal transition,,phenotype
MP:0004280,abnormal oculomotor nucleus morphology,,phenotype
ENSEMBL:ENSSSCG00000005904,ENSEMBL:ENSSSCG00000005904,,gene
HP:0002180,Neurodegeneration,,phenotype
ENSEMBL:ENSBTAG00000047834,EFR3A,,gene
RGD:1311672,Cnot2,,gene
ENSEMBL:ENSPTRG00000017940,ENSEMBL:ENSPTRG00000017940,,gene
HP:0003324,Generalized muscle weakness,,phenotype
WBPhenotype:0002534,antimicrobial gene expression variant,,phenotype
MGI:88151,Glb1,,gene
ENSEMBL:ENSBTAG00000034182,LOC782966,,gene
ZP:0008042,"optokinetic behavior process quality, abnormal",,phenotype
PomBase:SPBP35G2.11c,nbr1,,gene
ZFIN:ZDB-GENE-040924-8,npy2r,,gene
ENSEMBL:ENSECAG00000022106,ENSEMBL:ENSECAG00000022106,,gene
MP:0006351,abnormal glycosylated hemoglobin level,,phenotype
HP:0002605,Hepatic necrosis,,phenotype
ENSEMBL:ENSMODG00000016394,ENSEMBL:ENSMODG00000016394,,gene
ENSEMBL:ENSPTRG00000051534,ENSEMBL:ENSPTRG00000051534,,gene
ENSEMBL:ENSFCAG00000009998,ENSEMBL:ENSFCAG00000009998,,gene
SGD:S000003880,JHD2,,gene
ENSEMBL:ENSACAG00000013405,ENSEMBL:ENSACAG00000013405,,gene
MP:0008260,abnormal autophagy,,phenotype
ENSEMBL:ENSCAFG00000004123,ENSEMBL:ENSCAFG00000004123,,gene
EFO:0004703,age at menarche,,phenotype
MP:0010499,abnormal ventricle myocardium morphology,,phenotype
HGNC:32225,WIPI2,,gene
ENSEMBL:ENSFCAG00000049044,ENSEMBL:ENSFCAG00000049044,,gene
ENSEMBL:ENSACAG00000022234,ENSEMBL:ENSACAG00000022234,,gene
MP:0011100,"preweaning lethality, complete penetrance",,phenotype
MP:0005359,growth retardation of incisors,,phenotype
FlyBase:FBgn0033089,CG17266,,gene
Coriell:GM06445,NIGMS-GM06445,,biological artifact
MP:0008834,abnormal melanosome transport,,phenotype
WBPhenotype:0001837,diet induced life span variant,,phenotype
ENSEMBL:ENSFCAG00000042897,ENSEMBL:ENSFCAG00000042897,,gene
EFO:0004458,C-reactive protein measurement,,phenotype
MP:0000940,abnormal motor neuron innervation pattern,,phenotype
ENSEMBL:ENSSSCG00000001347,ENSEMBL:ENSSSCG00000001347,,gene
WormBase:WBGene00011326,T01D3.1,,gene
ENSEMBL:ENSCAFG00000031336,MED21,,gene
MGI:3584455,Gt(ROSA)26Sor<tm1(HD*103Q)Xwy>; Tg(Nes-cre)1Kln [involves: 129S1/Sv * 129X1/SvJ * C57BL/6 * SJL],,genotype
ENSEMBL:ENSECAG00000014560,ENSEMBL:ENSECAG00000014560,,gene
MP:0000759,abnormal skeletal muscle morphology,,phenotype
XPO:0103702,abnormal bending of tail,,phenotype
WBPhenotype:0002153,dsRNA processing defective,,phenotype
ENSEMBL:ENSMODG00000012573,ENSEMBL:ENSMODG00000012573,,gene
ENSEMBL:ENSACAG00000007271,ENSEMBL:ENSACAG00000007271,,gene
ENSEMBL:ENSPTRG00000042199,ENSEMBL:ENSPTRG00000042199,,gene
ENSEMBL:ENSACAG00000014472,ENSEMBL:ENSACAG00000014472,,gene
dbSNP:rs55962025,rs55962025-?,,variant
WBPhenotype:0001158,pronuclear breakdown asynchronous early emb,,phenotype
ENSEMBL:ENSGALG00000015783,ENSEMBL:ENSGALG00000015783,,gene
Xenbase:XB-GENE-486781,axin1,,gene
RGD:1309441,Lsm12,,gene
MONARCH:APO_0000131APO_0000117,protein/peptide modification:normal,,phenotype
HGNC:9554,PSMD1,,gene
ZP:0012049,"bulbus arteriosus elongated, abnormal",,phenotype
FlyBase:FBgn0032171,Dmel\CG5846,,gene
ENSEMBL:ENSPTRG00000014033,ENSEMBL:ENSPTRG00000014033,,gene
MP:0000960,abnormal sensory ganglion morphology,,phenotype
ZP:0017628,"pronephric proximal convoluted tubule distended, abnormal",,phenotype
ENSEMBL:ENSGALG00000002478,ENSEMBL:ENSGALG00000002478,,gene
ZP:0007797,"swimming decreased occurrence, abnormal",,phenotype
MP:0008484,decreased spleen germinal center size,,phenotype
PomBase:SPAC926.07c,dlc2,,gene
ENSEMBL:ENSMMUG00000053608,ENSEMBL:ENSMMUG00000053608,,gene
FlyBase:FBgn0286508,Had1,,gene
ZP:0102176,"anal fin morphogenesis process quality, abnormal",,phenotype
ZP:0001495,"trunk musculature quality, abnormal",,phenotype
ZP:0007288,"central artery irregular spatial pattern, abnormal",,phenotype
dbSNP:rs112683178,rs112683178-A,,variant
WormBase:WBGene00008124,C47A4.3,,gene
ENSEMBL:ENSGALG00000003339,ENSEMBL:ENSGALG00000003339,,gene
ZP:0016569,"cell division absent, abnormal",,phenotype
2832,thiamine,,drug
ENSEMBL:ENSFCAG00000028004,ENSEMBL:ENSFCAG00000028004,,gene
MP:0008917,abnormal oligodendrocyte physiology,,phenotype
ENSEMBL:ENSOANG00000048825,ENSEMBL:ENSOANG00000048825,,gene
ZP:0005690,"margin disorganized, abnormal",,phenotype
RGD:1562975,Kdm1a,,gene
WormBase:WBGene00000166,apt-9,,gene
ZP:0002503,"midbrain decreased size, abnormal",,phenotype
HP:0000739,Anxiety,,phenotype
MP:0011077,decreased macrophage nitric oxide production,,phenotype
ZFIN:ZDB-GENE-040426-2723,fez1,,gene
MP:0003627,abnormal leukocyte tethering or rolling,,phenotype
2459,sorafenib,,drug
HP:0002013,Vomiting,,phenotype
MGI:101921,Ap2a1,,gene
Xenbase:XB-GENE-964696,glb1l,,gene
MP:0010868,increased bone trabecula number,,phenotype
SGD:S000000174,ATG8,,gene
ENSEMBL:ENSACAG00000028751,ENSEMBL:ENSACAG00000028751,,gene
ENSEMBL:ENSCAFG00000017889,EVL,,gene
ENSEMBL:ENSOANG00000037003,ENSEMBL:ENSOANG00000037003,,gene
WBPhenotype:0000376,no uterine cavity,,phenotype
ZP:0009507,"cerebellar Purkinje cell differentiation disrupted, abnormal",,phenotype
WormBase:WBGene00008741,ctsa-1.2,,gene
Xenbase:XB-GENE-480628,traf6,,gene
ENSEMBL:ENSPTRG00000021972,ENSEMBL:ENSPTRG00000021972,,gene
MP:0001499,abnormal kindling response,,phenotype
SGD:S000001887,BLM10,,gene
WBPhenotype:0001404,ectopic expression antibody,,phenotype
ENSEMBL:ENSECAG00000013271,ENSEMBL:ENSECAG00000013271,,gene
WormBase:WBGene00006514,tdp-1,,gene
MP:0010856,dilated respiratory conducting tubes,,phenotype
ZP:0000107,"heart morphology, abnormal",,phenotype
ZP:0003300,"Meckel's cartilage shortened, abnormal",,phenotype
MGI:5566682,Tg(YAC128)#Hay [FVB/N-Tg(YAC128)#Hay],,genotype
PomBase:SPBC216.07c,tor2,,gene
Xenbase:XB-GENE-966618,zdhhc17,,gene
MONARCH:APO_0000104APO_0000004,mitochondrial rho- mutation frequency:increased,,phenotype
ENSEMBL:ENSCAFG00000025384,ENSEMBL:ENSCAFG00000025384,,gene
HP:0100678,Premature skin wrinkling,,phenotype
MP:0000423,delayed hair regrowth,,phenotype
MONARCH:APO_0000087APO_0000003,resistance to chemicals:decreased,,phenotype
WormBase:WBGene00000072,add-1,,gene
MP:0014171,increased fatty acid oxidation,,phenotype
ZP:0003637,"whole organism deformed, abnormal",,phenotype
WBPhenotype:0000496,male postdeirid sensilla absent,,phenotype
MP:0008688,decreased interleukin-2 secretion,,phenotype
MP:0002098,abnormal vibrissa morphology,,phenotype
HP:0012432,Chronic fatigue,,phenotype
ZP:0009923,"optic vesicle mislocalised, abnormal",,phenotype
ENSEMBL:ENSCAFG00000008253,ENSEMBL:ENSCAFG00000008253,,gene
WBPhenotype:0000481,negative chemotaxis variant,,phenotype
MP:0002080,prenatal lethality,,phenotype
ZP:0020240,"eye photoreceptor cell accumulation vesicle eye photoreceptor cell, abnormal",,phenotype
WBPhenotype:0001681,spindle orientation variant,,phenotype
ENSEMBL:ENSRNOG00000034150,M0RCS3,,gene
ZFIN:ZDB-GENE-030131-2748,eif3ba,,gene
dbSNP:rs932428,rs932428-?,,variant
HGNC:21686,RNASET2,,gene
HP:0011801,Enlargement of parotid gland,,phenotype
ENSEMBL:ENSSSCG00000004119,GRM1,,gene
ENSEMBL:ENSACAG00000002018,ENSEMBL:ENSACAG00000002018,,gene
WormBase:WBGene00021503,ctsa-4.2,,gene
ENSEMBL:ENSSSCG00000024694,TAF4,,gene
ENSEMBL:ENSMODG00000024783,ENSEMBL:ENSMODG00000024783,,gene
FlyBase:FBgn0261797,Dhc64C,,gene
MP:0008714,increased lung carcinoma incidence,,phenotype
MP:0008872,abnormal physiological response to xenobiotic,,phenotype
ZP:0000095,"whole organism lethal (sensu genetics), abnormal",,phenotype
WBPhenotype:0000072,body morphology variant,,phenotype
ENSEMBL:ENSSSCG00000033303,MBD4,,gene
HP:0000268,Dolichocephaly,,phenotype
ZP:0002499,"hindbrain decreased size, abnormal",,phenotype
ENSEMBL:ENSMODG00000000612,ENSEMBL:ENSMODG00000000612,,gene
HGNC:9882,RASSF1,,gene
SGD:S000002584,UBC1,,gene
WBPhenotype:0000744,transgene induced cosuppression variant,,phenotype
HP:0005266,Intestinal polyp,,phenotype
MP:0010594,thick aortic valve,,phenotype
ZP:0018634,"autophagosome heart decreased amount, abnormal",,phenotype
HP:0000472,Long neck,,phenotype
ZFIN:ZDB-GENE-041010-42,h2ax1,,gene
MP:0000627,abnormal mammary gland morphology,,phenotype
ENSEMBL:ENSPTRG00000007195,ENSEMBL:ENSPTRG00000007195,,gene
MP:0004930,small epididymis,,phenotype
ZP:0001462,"heart looping arrested, abnormal",,phenotype
MP:0008249,abnormal common lymphocyte progenitor cell morphology,,phenotype
RGD:628596,Tubb5,,gene
MP:0006162,thick eyelids,,phenotype
HP:0000957,Cafe-au-lait spot,,phenotype
ENSEMBL:ENSCAFG00000017108,F1PR84,,gene
